word,embedding_0,embedding_1,embedding_2,embedding_3,embedding_4,embedding_5,embedding_6,embedding_7,embedding_8,embedding_9,embedding_10,embedding_11,embedding_12,embedding_13,embedding_14,embedding_15,embedding_16,embedding_17,embedding_18,embedding_19,embedding_20,embedding_21,embedding_22,embedding_23,embedding_24,embedding_25,embedding_26,embedding_27,embedding_28,embedding_29,embedding_30,embedding_31,embedding_32,embedding_33,embedding_34,embedding_35,embedding_36,embedding_37,embedding_38,embedding_39,embedding_40,embedding_41,embedding_42,embedding_43,embedding_44,embedding_45,embedding_46,embedding_47,embedding_48,embedding_49,embedding_50,embedding_51,embedding_52,embedding_53,embedding_54,embedding_55,embedding_56,embedding_57,embedding_58,embedding_59,embedding_60,embedding_61,embedding_62,embedding_63,embedding_64,embedding_65,embedding_66,embedding_67,embedding_68,embedding_69,embedding_70,embedding_71,embedding_72,embedding_73,embedding_74,embedding_75,embedding_76,embedding_77,embedding_78,embedding_79,embedding_80,embedding_81,embedding_82,embedding_83,embedding_84,embedding_85,embedding_86,embedding_87,embedding_88,embedding_89,embedding_90,embedding_91,embedding_92,embedding_93,embedding_94,embedding_95,embedding_96,embedding_97,embedding_98,embedding_99
the,-0.16457707,0.022871023,-0.05521968,-0.0040444247,-0.050596714,-0.29877856,0.25024968,0.42022514,-0.33858728,-0.112088345,-0.035347894,-0.43981016,-0.021861568,-0.0208815,0.0343459,-0.18107115,0.25277922,-0.15487142,-0.05709589,-0.448271,0.21672831,0.13335408,0.39286533,-0.10326907,-0.12312588,-0.021302624,-0.21240443,0.1013321,-0.13647252,-0.12587261,0.3479894,-0.032948177,0.22524007,-0.1599304,-0.018707208,0.3137158,0.20569338,-0.29734626,-0.34417614,-0.32012358,-0.030909948,-0.32538146,-0.010659585,0.09206654,0.24369788,-0.07004814,-0.04734383,-0.105849266,0.010253739,0.11933481,0.012172865,-0.14602247,0.067896,0.080307454,-0.356029,0.0859951,0.053589948,0.1337538,-0.26282245,0.121191174,-0.05219489,0.06004603,0.07899262,0.11150525,-0.15537256,0.263763,0.012269729,0.12270882,-0.27657667,0.23491564,0.10794745,0.1424982,0.15753293,0.1396881,0.31215158,0.10880338,0.120165594,-0.008617766,-0.32731926,0.098566115,-0.03412213,-0.025629846,-0.18451162,0.076636665,-0.20577954,-0.037873708,0.08779368,0.16433908,0.1150151,0.056345277,0.32785183,0.008536673,0.0062064123,0.039660525,0.4799708,0.17509244,0.20838211,-0.39539286,0.1298845,0.110427454
and,-0.17244121,0.018944329,-0.05520128,-0.0051298514,-0.032292746,-0.29085925,0.24430999,0.4173334,-0.33940443,-0.115164496,-0.043546226,-0.44870183,-0.022337494,-0.025295634,0.045486107,-0.16908771,0.2622105,-0.15026376,-0.049550425,-0.44622618,0.20520505,0.12297839,0.39780745,-0.11657373,-0.13036136,-0.016103083,-0.22751357,0.10472009,-0.12294154,-0.112896726,0.3634112,-0.037377942,0.21967493,-0.16400872,-0.0070398534,0.32645616,0.20318897,-0.28838804,-0.34109855,-0.30274737,0.0016011697,-0.34406057,-0.005360883,0.102344565,0.23839512,-0.059171718,-0.03585766,-0.11716076,0.009378007,0.111335345,0.029530078,-0.15704322,0.07360003,0.087338604,-0.3685591,0.09275698,0.063054316,0.14846626,-0.26024228,0.13036928,-0.06489008,0.056215163,0.07965874,0.1201313,-0.15775497,0.26531765,0.028253494,0.11622625,-0.266435,0.24104159,0.09652675,0.12000453,0.17374766,0.16600965,0.31100905,0.10153394,0.11215565,-0.013024779,-0.32477233,0.10419881,-0.04932307,-0.025648277,-0.18304956,0.05475526,-0.19896142,-0.051410336,0.08207529,0.16279414,0.12518485,0.040989127,0.33296263,0.0086963475,-0.0042476812,0.028962329,0.46388236,0.17150383,0.2268462,-0.39653027,0.12524368,0.10649781
to,-0.13827674,0.014829958,-0.070614375,-0.011573535,-0.015576707,-0.28301522,0.24070854,0.41387412,-0.34439895,-0.095383815,-0.04094381,-0.44236398,0.0121617615,-0.039070763,0.06779598,-0.17703126,0.25450215,-0.15039468,-0.057439923,-0.45997903,0.18652381,0.13371643,0.38344052,-0.13333084,-0.13478851,-0.030721588,-0.209789,0.105831444,-0.12851582,-0.10687284,0.3565719,-0.0372765,0.22229406,-0.15252103,-0.01447934,0.3342641,0.18451415,-0.28744957,-0.3482026,-0.31865102,-0.0143746035,-0.3413355,0.001724013,0.1292668,0.26375255,-0.060569737,-0.04957391,-0.11537672,-0.007336964,0.11448068,0.02332532,-0.15356,0.045902546,0.06378344,-0.38776764,0.074679375,0.049181025,0.13893913,-0.27881584,0.12373999,-0.049443383,0.036760606,0.09786409,0.1273357,-0.16809943,0.274015,0.03368411,0.13069548,-0.28263146,0.2427073,0.10010688,0.13264546,0.17684536,0.17749558,0.32154197,0.11224213,0.12952326,-0.0140070105,-0.32599932,0.10060691,-0.030849716,-0.040875126,-0.20332861,0.052465744,-0.18066908,-0.0657737,0.09378836,0.17246109,0.14846243,0.050187744,0.33263245,0.018156243,0.0006096531,0.03959211,0.469522,0.17553686,0.22920112,-0.39472753,0.14435811,0.079298176
a,-0.1700036,0.028323136,-0.060467355,-0.013045751,-0.04078278,-0.3006045,0.24491377,0.42733863,-0.3253035,-0.11520822,-0.03325978,-0.43213528,-0.009918187,-0.03859923,0.055414863,-0.16789794,0.2628969,-0.18415977,-0.053466003,-0.43773457,0.21660659,0.12940298,0.40849593,-0.1106338,-0.15126632,-0.009702078,-0.21030137,0.09660435,-0.11314253,-0.11754476,0.3515236,-0.029603444,0.20185053,-0.15179276,-0.0020379971,0.3478736,0.1904386,-0.30050224,-0.366515,-0.3046416,-0.007722957,-0.3268578,0.012642466,0.10693211,0.25306624,-0.06323169,-0.03734664,-0.11727336,-0.0004363312,0.11510995,0.023718903,-0.14297853,0.056574218,0.06823022,-0.38260227,0.09715677,0.056677375,0.16029912,-0.25527802,0.11552956,-0.057080515,0.0683041,0.087122075,0.12479313,-0.14716108,0.25387672,0.012467637,0.14518975,-0.27241746,0.22887377,0.10500864,0.118710525,0.15844429,0.17427023,0.30926338,0.09977063,0.10369095,-0.0062235133,-0.34168595,0.11146102,-0.039518543,-0.02729455,-0.18976602,0.0726902,-0.19827393,-0.053755943,0.09665646,0.19876716,0.121865705,0.031181347,0.32649803,-0.00020796541,-0.01660312,0.04371708,0.48101136,0.1654215,0.23738593,-0.40965235,0.124934494,0.09551905
of,-0.17238921,0.016454719,-0.07138984,-0.011810866,-0.025584033,-0.28546607,0.24079137,0.4173866,-0.3399692,-0.094647296,-0.0539705,-0.43444428,-0.021328853,-0.028896544,0.04037914,-0.17754872,0.2542809,-0.1449661,-0.036099017,-0.45655617,0.20827664,0.12638417,0.40872437,-0.103639595,-0.13534807,-0.014202575,-0.22032301,0.108219005,-0.13418628,-0.124029376,0.36903992,-0.026082532,0.21896602,-0.161441,-0.0014845135,0.3196369,0.18781736,-0.29557624,-0.3520198,-0.3178801,-0.0092607,-0.34744048,-0.018641481,0.11319559,0.25328416,-0.081877664,-0.033592727,-0.120073296,0.012894355,0.10007347,0.023873596,-0.1459135,0.09002346,0.08509401,-0.37401223,0.080013014,0.041762073,0.13402072,-0.26151493,0.110372834,-0.04419556,0.045948938,0.08463107,0.12655607,-0.16344452,0.2676098,0.02849276,0.13353589,-0.2835888,0.2465722,0.08383339,0.14198364,0.16278173,0.15923421,0.31143585,0.110190034,0.10281851,-0.0015451033,-0.3296131,0.096699275,-0.04268426,-0.042885005,-0.18810675,0.065538615,-0.20103459,-0.046915423,0.08708948,0.17805974,0.10983783,0.04216033,0.33864614,0.0051858523,-0.0051443116,0.03741814,0.47467294,0.16263907,0.2263826,-0.39369065,0.14023994,0.09923598
it,-0.15189567,0.020535385,-0.0677108,-0.022119364,-0.05308128,-0.28774682,0.25352117,0.40729356,-0.3395192,-0.114546075,-0.049470793,-0.4324262,-0.025525803,-0.046678476,0.0490107,-0.1785867,0.24719426,-0.17340402,-0.048362367,-0.44624138,0.18806055,0.12953515,0.40619382,-0.11047003,-0.15000568,-0.027544834,-0.22082783,0.08690576,-0.10476668,-0.102458976,0.36002484,-0.044468008,0.21806759,-0.16348307,-0.014802536,0.34237343,0.20106508,-0.28102818,-0.34655088,-0.31862488,0.0070108213,-0.3382868,0.005915212,0.10743569,0.24520211,-0.06565428,-0.04755865,-0.097916536,0.004516229,0.10650991,0.027302945,-0.1545848,0.07904149,0.090469636,-0.3906663,0.08461062,0.07575457,0.1362382,-0.27412936,0.11437339,-0.048707757,0.048104703,0.09899214,0.12282544,-0.13903607,0.2585843,0.020451773,0.13318522,-0.28681368,0.21433912,0.09400227,0.13374986,0.17456864,0.17822136,0.31195405,0.10554092,0.10234336,-0.0027565355,-0.3236073,0.114059426,-0.030322757,-0.043034486,-0.17649432,0.050226457,-0.19666615,-0.062733926,0.07931984,0.19007373,0.1229475,0.054491397,0.35505757,0.0236996,-0.030242149,0.038353816,0.47290662,0.17246425,0.21710126,-0.39957675,0.13700359,0.09647612
she,-0.13506518,0.01909538,-0.06902027,-0.011978001,-0.045818288,-0.2962425,0.2609851,0.41057882,-0.33239868,-0.123048596,-0.032610875,-0.437615,-0.019378545,-0.030637857,0.033940546,-0.1933515,0.27876243,-0.13804655,-0.050630774,-0.4706278,0.20808053,0.12597165,0.39434776,-0.110415205,-0.1429293,-0.010792216,-0.23488046,0.10245802,-0.112276286,-0.11442086,0.35882288,-0.018066138,0.22501488,-0.16186601,-0.035821017,0.32542896,0.20805739,-0.2973436,-0.36783874,-0.3285242,0.0052555166,-0.34791738,0.026474213,0.0933053,0.24466062,-0.04980604,-0.059694376,-0.13195811,0.004999952,0.109147854,0.022703378,-0.16619472,0.07016069,0.08552638,-0.38971922,0.063803226,0.051997118,0.1381841,-0.28936288,0.111560956,-0.055351123,0.037195634,0.106276214,0.1395686,-0.15318674,0.27176777,0.009999091,0.121585794,-0.29302603,0.22663529,0.106086425,0.14231616,0.1717112,0.1721522,0.32533428,0.0989495,0.12608461,0.013669778,-0.33636042,0.11697964,-0.028981702,-0.03180255,-0.20588326,0.05800176,-0.21158935,-0.054120623,0.09843737,0.16603516,0.11389409,0.054184016,0.34348115,0.021732574,-0.010432232,0.036886096,0.47063532,0.16731118,0.23913452,-0.39884576,0.12550554,0.11787307
i,-0.111041315,-0.00213786,-0.043809496,0.016448189,-0.035496026,-0.2836001,0.24896835,0.41441765,-0.35235882,-0.07189685,-0.055328824,-0.4252008,0.006984926,-0.049292862,0.0799036,-0.1312872,0.26095846,-0.21900858,-0.058029756,-0.49451202,0.20450278,0.19130525,0.4265622,-0.16969846,-0.18094449,-0.029534888,-0.2282733,0.10894415,-0.11838364,-0.091575086,0.3589066,-0.023697937,0.24777226,-0.15287809,-0.0013437904,0.39727902,0.14287414,-0.3166227,-0.4020511,-0.33543178,0.014978625,-0.35248876,0.0141575495,0.13838546,0.29259294,-0.07508615,-0.064044654,-0.11477366,0.010492772,0.11945446,-0.006783847,-0.15056029,0.040277846,0.0648992,-0.4169,0.1079471,0.046331782,0.18189499,-0.27875602,0.15296315,-0.04066854,0.04422092,0.053605296,0.14365605,-0.15204744,0.27401662,0.013205688,0.15649186,-0.28357178,0.24598746,0.070628695,0.11974709,0.16071625,0.19806539,0.33701068,0.08226623,0.12287085,-0.046448324,-0.34221697,0.086641386,-0.039513376,-0.050320093,-0.2284694,0.07188297,-0.16754727,-0.088780195,0.11032824,0.2379676,0.15779804,0.043343984,0.36425686,-0.022298524,-0.06298031,0.06363404,0.4641763,0.18595888,0.22050276,-0.42706507,0.15147102,0.071744464
you,-0.1463732,0.01587602,-0.05293585,0.007057197,-0.020883305,-0.28871286,0.25433558,0.40847284,-0.34394252,-0.0706918,-0.045538563,-0.432084,0.0061172103,-0.04401617,0.07505589,-0.1492059,0.23721987,-0.20205705,-0.05654675,-0.47018886,0.20099384,0.16992356,0.41410157,-0.14570558,-0.15263501,-0.027827488,-0.21840262,0.07757685,-0.1075218,-0.11619149,0.36610067,-0.034570158,0.23613119,-0.13241799,0.0040344982,0.3700129,0.1659619,-0.2931896,-0.36269203,-0.341651,-0.010956987,-0.3350345,0.008281528,0.12818457,0.26765215,-0.070275456,-0.04269843,-0.10169091,-0.0077519,0.10732366,0.009099126,-0.13934691,0.04195703,0.07473196,-0.38915464,0.086773194,0.06416791,0.15656905,-0.25492072,0.12330659,-0.06307622,0.041791305,0.072034135,0.13090523,-0.16160718,0.26203758,0.016765403,0.14071442,-0.28589094,0.23768045,0.06375067,0.11920187,0.16589342,0.1867603,0.31508964,0.08621662,0.09608884,-0.037840586,-0.34328377,0.09894937,-0.031064447,-0.058340125,-0.18717644,0.0633578,-0.16697906,-0.0682763,0.09403615,0.19685695,0.12703475,0.05225384,0.3404886,-0.0007451427,-0.026125226,0.052151665,0.47817758,0.18246137,0.2229298,-0.39439446,0.14656445,0.07682804
said,-0.15172955,0.0042715287,-0.07006195,0.008494251,-0.03295411,-0.30327246,0.24609321,0.4288906,-0.3426143,-0.09749908,-0.049160857,-0.4371242,-0.0060509006,-0.037309688,0.052585967,-0.15218964,0.25518197,-0.19729987,-0.04026635,-0.46957755,0.20503987,0.15536918,0.40047,-0.13316247,-0.1427576,-0.027174918,-0.23005201,0.102620065,-0.11685862,-0.116973795,0.36475405,-0.02468852,0.2352989,-0.13569161,-0.011143209,0.36074394,0.1788213,-0.28849936,-0.35874748,-0.3168335,0.0027243318,-0.3327587,0.0027810114,0.11848407,0.26153177,-0.0656078,-0.048482805,-0.09949615,0.0072145113,0.12711053,0.01739341,-0.13373834,0.046861824,0.0869771,-0.38203707,0.08139101,0.050209627,0.14778268,-0.25801256,0.13011077,-0.061508678,0.05469761,0.08547776,0.12826522,-0.16254103,0.2566013,0.018521054,0.12473355,-0.27366424,0.2353026,0.08655113,0.12809941,0.16389874,0.16670774,0.32785422,0.08889254,0.11511442,-0.026128953,-0.32777226,0.104550704,-0.032584846,-0.04285986,-0.19848454,0.07209358,-0.18434069,-0.07657251,0.08663845,0.19717403,0.13643031,0.05320932,0.3365564,0.014669904,-0.01628913,0.060877923,0.48546103,0.16258545,0.2181771,-0.39173073,0.1506239,0.08902247
